"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"WDPRBUS","194913","1549.262","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","195013","1562.307","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","195113","1534.669","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","195213","1474.369","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","195313","1418.601","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","195413","1394.327","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","195513","1424.143","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","195613","1415.871","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","195713","1333.581","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","195813","1323.123","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","195913","1352.874","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","196013","1319.87","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","196113","1294.762","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","196213","1300.242","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","196313","1323.316","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","196413","1336.802","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","196513","1334.761","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","196613","1368.985","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","196713","1340.249","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","196813","1419.495","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","196913","1440.487","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197013","1428.649","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197113","1430.229","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197213","1500.992","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197301","129.63","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197302","117.194","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197303","129.763","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197304","125.462","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197305","129.624","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197306","125.435","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197307","129.616","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197308","129.734","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197309","125.603","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197310","129.769","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197311","125.492","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197312","129.69","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197313","1527.012","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197401","130.655","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197402","117.949","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197403","130.579","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197404","126.441","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197405","130.659","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197406","126.432","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197407","130.548","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197408","130.574","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197409","126.454","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197410","130.562","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197411","126.352","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197412","130.555","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197413","1537.76","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197501","127.128","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197502","114.829","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197503","127.127","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197504","123.022","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197505","127.13","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197506","123.048","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197507","127.125","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197508","127.136","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197509","123.052","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197510","127.151","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197511","123.039","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197512","127.138","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197513","1496.928","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197601","144.91","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197602","135.559","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197603","144.914","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197604","140.237","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197605","144.913","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197606","140.244","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197607","144.898","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197608","144.918","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197609","140.271","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197610","144.94","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197611","140.481","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197612","145.201","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197613","1711.484","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197701","156.074","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197702","141.046","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197703","156.072","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197704","151.013","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197705","156.032","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197706","150.997","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197707","155.742","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197708","155.909","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197709","150.938","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197710","155.998","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197711","150.888","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197712","155.816","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197713","1836.524","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197801","173.005","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197802","156.277","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197803","173.026","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197804","167.244","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197805","172.806","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197806","167.239","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197807","172.825","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197808","173.009","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197809","167.32","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197810","173.027","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197811","167.438","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197812","172.935","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197813","2036.15","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197901","182.453","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197902","164.927","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197903","182.64","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197904","176.707","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197905","182.561","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197906","176.662","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197907","182.536","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197908","182.638","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197909","176.766","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197910","182.63","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197911","176.767","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197912","182.568","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","197913","2149.854","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198001","209.613","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198002","196.117","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198003","209.598","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198004","202.768","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198005","209.394","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198006","202.609","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198007","209.449","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198008","209.544","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198009","202.79","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198010","209.602","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198011","202.831","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198012","209.546","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198013","2473.861","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198101","211.988","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198102","191.528","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198103","212.042","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198104","205.195","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198105","211.883","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198106","204.976","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198107","211.838","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198108","211.846","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198109","205.148","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198110","212.004","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198111","205.166","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198112","211.948","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198113","2495.563","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198201","213.205","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198202","192.598","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198203","213.132","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198204","206.24","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198205","213.101","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198206","206.255","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198207","213.146","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198208","213.158","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198209","206.364","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198210","213.332","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198211","206.347","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198212","213.17","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198213","2510.048","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198301","227.926","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198302","205.87","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198303","227.938","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198304","220.561","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198305","227.897","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198306","220.582","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198307","227.933","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198308","227.978","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198309","220.641","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198310","228.031","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198311","220.719","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198312","228.194","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198313","2684.271","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198401","227.551","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198402","212.673","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198403","227.378","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198404","219.904","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198405","227.242","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198406","219.914","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198407","227.458","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198408","227.481","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198409","220.21","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198410","227.64","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198411","220.555","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198412","227.811","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198413","2685.817","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198501","228.394","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198502","206.294","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198503","228.374","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198504","220.463","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198505","227.858","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198506","220.471","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198507","228.091","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198508","228.276","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198509","221.006","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198510","228.287","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198511","220.962","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198512","228.29","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198513","2686.765","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198601","217.84","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198602","196.536","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198603","217.379","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198604","210.372","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198605","217.424","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198606","210.444","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198607","217.598","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198608","217.76","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198609","210.699","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198610","217.574","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198611","210.647","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198612","217.863","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198613","2562.134","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198701","209.176","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198702","188.924","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198703","209.117","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198704","202.254","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198705","208.99","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198706","202.596","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198707","209.335","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198708","209.365","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","198709","202.52","1","Wood Energy Production","Trillion Btu"
